Car class,Possible lines,Car number series,Car length,Seated Load,Guideline Load,Max-load
R62,"1, 2, 3, 4, 5, 6, 7, GS",1301-1625,51’,4,11,15
R62A,"1, 2, 3, 4, 5, 6, 7, GS",1651-2475,51’,4,11,15
R142,"1, 2, 3, 4, 5, 6, 7, GS",6301-7180,51’,4,11,15
R142A,"1, 2, 3, 4, 5, 6, 7, GS",7201-7600,51’,4,11,15
R188,"1, 2, 3, 4, 5, 6, 7, GS",7811-7936,51’,4,11,15
R32,"E, J, L, M, Z",3350-3949,60’,5,14,20
R42,"E, J, L, M, Z",4550-4949,60’,5,14,20
R44,"A, B, C, D, F, FS, G, H, N, Q, R, W",5202-5479,75’,7,17,23
R46,"A, B, C, D, F, FS, G, H, N, Q, R, W",5482-6258,75’,7,17,23
R68,"A, B, C, D, F, FS, G, H, N, Q, R, W",2500-2924,75’,7,17,23
R143,"E, J, L, M, Z",8101-8312,60’,4,14,20
R160,"E, J, L, M, Z",8313 -9974,60’,4,14,20
